name,abbr,color
Agent Interface to Applicant Portal,AI2AP,#377DB8
Alexandria,Alex,#377DB8
Allocate+(Central & Monash College),A+,#377DB8
ALMA - Monash Library System/Voyager,ALMA,#377DB8
api.monash integration platform,api.monash,#377DB8
Applicant Portal (new),AP(new),#377DB8
Applicant Portal (old),AP(old),#377DB8
BI,BI,#377DB8
Blue (SETU),SETU,#377DB8
Callista,Callista,#9ACD32
CaptureMe,CapMe,#9ACD32
CareerHub (Career Gateway),CHub,#9ACD32
Course Accreditation Review Management (CARM),CARM,#9ACD32
Course And Unit Publication And Information Database (CUPID),CUPID,#9ACD32
Course Enquiry Portal (CEP),CEP,#9ACD32
Credit Precedent and Admission Requirements (CPAR),CPAR,#9ACD32
Federation University,FedU,#A0522D
FIM,FIM,#A0522D
Finance - TM1 Callista/KRONOS updates,TM1,#A0522D
Find a Course Integration Component,FindCrs,#A0522D
Higher Education Information Management System (HEIMS),HEIMS,#F4A460
IITB Student Portal,IITB,#F4A460
InPlace,InPlace,#F4A460
KRONOS,KRONOS,#F4A460
Load Planning and Monitoring,LPM,#F4A460
METIS (Budget and Reporting System),METIS,#87CEEB
MGE Callista HDR Inquiry Program (CHIP),CHIP,#87CEEB
Monash Abroad Portal,Abroad,#87CEEB
Monash Account Registration Services (MARS),MARS,#87CEEB
Monash Online (Pearson),Pearson,#87CEEB
Monash Reporting System,MRS,#87CEEB
Monash Sport - Links,MSport,#87CEEB
Moodle,Moodle,#87CEEB
My eQuals / Digitary,eQuals,#87CEEB
Onestop Payment Gateway,Onestop,#87CEEB
Open Universities Australia Exams (OUAE),OUAE,#87CEEB
Parking Permits,PP,#4682B4
PRISMS,PRISMS,#4682B4
Pure (myResearch),myResearch,#4682B4
QUASAR,QUASAR,#4682B4
Research Master,RM,#4682B4
Residential Management System,RMS,#4682B4
Respondus Lockdown Browser & Monitor,Respondus,#4682B4
Riskware,Riskware,#4682B4
SAP,SAP,#4682B4
SMS Crisis Management,SMSCM,#4682B4
Special Entry Access Scheme (SEAS) Calculator,SEAS,#4682B4
Streamline CRM,SCRM,#4682B4
Student Course Planner (Student Maps),SCP,#4682B4
Student Forms – Special Consideration,SpecCon,#4682B4
Student Futures,SFutures,#4682B4
Student Printing (Paper Cut),PaperCut,#4682B4
Study Abroad,SAbroad,#4682B4
UNICRM - (SalesForce CRM),UNICRM,#4682B4
Unit Enhancement Tracking (UET),UET,#4682B4
Unit Evaluation,UnitEval,#4682B4
Unit Guide Manager,UGM,#4682B4
Vice Chancellors Student Leadership Program (Ancora Imparo),VCSLP,#4682B4
Victorian Tertiary Admissions Centre (VTAC),VTAC,#4682B4
Volunteering@Monash,VaM,#4682B4
VTAC Offer Letter (VOLA),VOLA,#4682B4
VTAC Offer Letter Message Online Database (VOLMOD),VOLMOD,#4682B4
VTAC Supplementary Information Form,VTACSup,#4682B4
Web Enrolment System (WES),WES,#4682B4

























